curr_meeting_date,curr_venue_name,curr_race_number,curr_tab_number,horse_name,meeting_date,venue,rail_position,race_number,race_name,condition_age,condition_jockey,condition_sex,condition_class,condition_weight,condition_group,race_record,starters,margin_1,margin_2,race_duration,sectional_distance,sectional_time,barrier,jockey,abnormal_finish,position_finish,position_1200m,position_800m,position_400m,position_settling,blinkers_on,favourite,dead_heat,margin,weight_carried,weight_adjustment,stewards_report,pg1_barrier,pg1_position,pg1_dead_heat,pg1_horse,pg1_jockey,pg1_country,pg1_weight,pg1_margin,pg2_barrier,pg2_position,pg2_dead_heat,pg2_horse,pg2_jockey,pg2_country,pg2_weight,pg2_margin,pg3_barrier,pg3_position,pg3_dead_heat,pg3_horse,pg3_jockey,pg3_country,pg3_weight,pg3_margin,dslr
21/05/2016,Rosehill,1,9,Argie Bargie,26/04/2016,Rosehill,Timing - Manual : Rail - Normal,5,Barrier Trial,2yo,,Fillies,Barrier Trial Open,Catch Weight,,,7,Lg hd,Sh Hd,54.9,,,5,Tim Clark,,5,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,9,Argie Bargie,9/05/2016,Rosehill,Timing - Manual : Rail - Normal,6,Barrier Trial,2yo,,Fillies,Open Barrier Trial,Catch Weight,,,8,1,Hf Hd,53.6,,,6,Tim Clark,,6,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,10,Murrmaid,14/04/2016,Gosford,Timing - Electronic : Rail - +6m Entire,7,Barrier Trial,2yo,,Fillies,Barrier Trial Open,Catch Weight,,,6,1.3,2.8,51.29,,,2,Travis Wolfgram,,2,,,,,FALSE,FALSE,FALSE,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,10,Murrmaid,6/05/2016,Randwick,Timing - Manual : Rail - Normal,6,Barrier Trial (Kensington),2yo,,,Barrier Trial Open,Catch Weight,,,8,4.5,1.8,51,,,1,Matthew McGillivray,,1,,,,,FALSE,FALSE,FALSE,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,2,1,Ghost Protocol,30/07/2011,Doncaster,,1,Mdn (C5),,,,Cls 5,Set Weight,,,10,Hd,1.8,86.83,,,8,R Havlin,,2,,,,,FALSE,FALSE,FALSE,0.2,56.5,,,0,1,FALSE,Dance The Rain,,GB,53.5,0.2,0,3,FALSE,Livia's Dream,,IRE,56,0.2,0,4,FALSE,Siouxperhero,,IRE,56,0,
21/05/2016,Rosehill,2,1,Ghost Protocol,18/08/2011,Epsom,,1,Mdn (C5),2yo,,,Mdn,Set Weight,,,3,1.3,1.3,88.71,,,2,George Baker,,1,,,,,FALSE,FALSE,FALSE,1.3,58.5,,,0,2,FALSE,Freddy Q,,IRE,57,0,0,3,FALSE,Dollar Bill,,GB,58.5,1.3,,,,,,,,,19
21/05/2016,Rosehill,2,1,Ghost Protocol,22/09/2011,Newmarket,,2,Somerville Stks,2yo,Apprentices Cannot Claim,Colts & Geldings,Open,Set Weight,3,,9,2.5,Sh Hd,82.8,,,4,J P Spencer,,8,,,,,FALSE,FALSE,FALSE,7.3,56,,,0,1,FALSE,Crius,,IRE,56,2.5,0,2,FALSE,Farraaj,L Dettori,IRE,56,2.5,0,3,FALSE,Zip Top,,IRE,56,2.6,35
21/05/2016,Rosehill,2,1,Ghost Protocol,5/05/2012,Newmarket,,3,Hcp (105),3yo,,,Rs105,Handicap,,,11,Ns,2.5,103.91,,,5,J P Spencer,,7,,,,,FALSE,FALSE,FALSE,11.3,59.5,,,0,1,FALSE,Rewarded,,GB,56,0.1,0,2,FALSE,Archbishop,,USA,58.5,0,0,3,FALSE,Frog Hollow,,GB,59.5,0.1,226
21/05/2016,Rosehill,2,1,Ghost Protocol,26/05/2012,Goodwood,,3,3yo Hcp (100),3yo,,,Rs100,Handicap,,,8,2.3,1.3,125.6,,,7,H Turner,,3,,,,,FALSE,FALSE,FALSE,3.6,59.5,,,0,1,FALSE,Grandeur,W Buick,IRE,59.5,2.3,0,2,FALSE,Trader Jack,,GB,59.5,2.3,0,4,FALSE,Misdemeanour,,IRE,58,0,21
21/05/2016,Rosehill,2,1,Ghost Protocol,21/06/2012,Ascot,,4,3yo Hcp (105),3yo,,,Rs105,Handicap,,,18,Nk,Nk,155.5,,,9,H Turner,,17,,,,,FALSE,FALSE,FALSE,13,52.5,,,0,1,FALSE,Fennell Bay,,IRE,51.5,0.3,0,2,FALSE,Handsome Man,,IRE,49.5,0.3,16,3,FALSE,Ranked,R D Hughes,IRE,60.5,0.6,26
21/05/2016,Rosehill,2,1,Ghost Protocol,12/07/2012,Newmarket,,2,3yo Hcp (105),3yo,,,Rs105,Handicap,,,13,1.8,Hd,129.11,,,4,J P Spencer,,8,,,,,FALSE,FALSE,FALSE,4.5,58,,,13,1,FALSE,Stature,Ryan Moore,IRE,57.5,1.8,12,2,FALSE,Sunny Ying,P J Mc Donald,GB,59.5,1.8,0,3,FALSE,Samba King,,GB,60.5,2,21
21/05/2016,Rosehill,2,1,Ghost Protocol,21/07/2012,Newmarket,,1,Hcp (95),3yo,,,Rst95,Handicap,,,6,1-Feb,Ns,131.51,,,1,J P Spencer,,3,,,,,FALSE,FALSE,FALSE,0.6,59.5,,,0,1,FALSE,Prussian,,GB,60,0.5,0,2,FALSE,Dark Stranger,,USA,60,0.5,0,4,FALSE,Prophesy,,IRE,55,0,9
21/05/2016,Rosehill,2,1,Ghost Protocol,11/08/2012,Newmarket,,2,3yo+ Hcp (100),3yo+,,,Rs100,Handicap,,,10,1.8,Nk,124.94,,,7,E Ahern,,4,,,,,FALSE,FALSE,FALSE,8,54,,,0,1,FALSE,Sir John Hawkwood,R D Hughes,IRE,57,1.8,0,2,FALSE,Man Of Action,,USA,63.5,0.3,0,3,FALSE,Assizes,,GB,53,2.1,21
21/05/2016,Rosehill,2,1,Ghost Protocol,26/09/2012,Goodwood,,1,Hildon Stakes,3yo,,,Rst85,Handicap,,,8,3-Apr,3-Apr,153.84,,,5,J P Spencer,,1,,,,,FALSE,FALSE,FALSE,0.8,60.5,,,0,2,FALSE,Freddy Q,,IRE,58,0.8,0,3,FALSE,The Quarterjack,,GB,56,1.6,0,4,FALSE,Aegaeus,,GB,56,0,46
21/05/2016,Rosehill,2,1,Ghost Protocol,23/04/2013,Newcastle,,2,Barrier Trial,,,,Barrier Trial Open,Catch Weight,,,7,Sh Hd,Sh Hd,53.84,600,36,5,C Dwyer,,5,,,,,FALSE,FALSE,FALSE,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,2,1,Ghost Protocol,6/05/2013,Newcastle,,2,Barrier Trial,,,,Barrier Trial Open,Catch Weight,,,6,1.5,Nk,63.35,,,5,C Dwyer,,5,,,,,FALSE,FALSE,FALSE,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,2,1,Ghost Protocol,1/06/2013,Rosehill,+3m Entire Course,8,Parramatta Catholiccare (Bm85),3yo+,Apprentices Can Claim,,Benchmark 85,Handicap,,,17,SHH,0.8,91.46,600,36.55,15,Nathan Berry,,11,,,8,8,TRUE,FALSE,FALSE,5.1,54,,,8,1,FALSE,Iggi Pop,S Clipperton,NZ,53.5,0.1,5,2,FALSE,Mighty Lucky,N Thomas,AUS,53,0.1,2,3,FALSE,Index Linked,G Schofield,GB,54,0.9,248
21/05/2016,Rosehill,2,1,Ghost Protocol,15/06/2013,Rosehill,Out 6m Entire Course,8,Sydney Banana Wholesales Hcp,3yo+,Apprentices Can Claim,,Open,Handicap,,,14,1,2,123.6,600,37.63,10,Nathan Berry,,2,,11,9,11,TRUE,FALSE,FALSE,1,54,,,8,1,FALSE,Destiny's Kiss,C Reith,AUS,54,1,13,3,FALSE,Kaypers,J R Collett,AUS,54,3,14,4,FALSE,Merlin Mustang,R M Quinn,AUS,56.5,4.5,14
21/05/2016,Rosehill,2,1,Ghost Protocol,1/07/2013,Rosehill,TRUE,3,Calcoup Knitwear (Bm85),4yo+,Apprentices Can Claim,,Benchmark 85,Handicap,,,11,0.8,LN,123.11,600,38.26,7,Nathan Berry,,8,,11,8,10,TRUE,TRUE,FALSE,7.6,57,,,9,1,FALSE,World Wide,K O'Hara,AUS,59,0.8,2,2,FALSE,Lucripetous,C Reith,NZ,55,0.8,1,3,FALSE,Scottish Border,Josh Adams,AUS,56,1.2,16
21/05/2016,Rosehill,2,1,Ghost Protocol,20/07/2013,Rosehill,+8m Entire Course,7,Hungry Jack's (Bm90),3yo+,Apprentices Can Claim,,Benchmark 90,Handicap,,,14,0.5,HN,126.95,600,37.13,9,Nathan Berry,,5,,13,13,13,TRUE,FALSE,FALSE,2,54,,,12,1,FALSE,Sacred Flyer,G Schofield,NZ,54.5,0.5,8,2,FALSE,Winning Glory,J R Collett,NZ,58,0.5,13,3,FALSE,Lucripetous,C Reith,NZ,54,0.7,19
21/05/2016,Rosehill,2,1,Ghost Protocol,27/07/2013,Randwick,TRUE,7,Sinclair Hyundai Ypr (Bm85),3yo+,Apprentices Can Claim,,Benchmark 85,Handicap,,,11,0.8,NK,152.37,600,40.21,10,P Robl,,6,10,10,8,8,TRUE,TRUE,FALSE,4.1,56,,,3,1,FALSE,Iggi Pop,Tim Clark,NZ,56,0.8,6,2,FALSE,Lucripetous,C Reith,NZ,56.5,0.8,11,3,FALSE,Yulalona,J Bowman,AUS,59,1.1,7
21/05/2016,Rosehill,2,1,Ghost Protocol,17/08/2013,Rosehill,+3m Entire Course,8,St Johns Park Bowling Clb-Bm90,3yo+,Apprentices Can Claim,,Benchmark 90,Handicap,,,14,1,HH,109.11,600,36.9,14,J R Collett,,6,,14,13,14,TRUE,FALSE,FALSE,4.6,54,,,1,1,FALSE,Winning Glory,S Lisnyy,NZ,55,1,9,2,FALSE,Less Is More,J Ford,FR,59,1,10,3,FALSE,Euryale,C Reith,AUS,54,1.1,21
21/05/2016,Rosehill,2,1,Ghost Protocol,31/08/2013,Rosehill,+6m Entire Course,4,Tab Rewards (Bm80),3yo+,Apprentices Can Claim,,Benchmark 80,Handicap,,,11,0.8,NK,148.38,600,35.69,1,J R Collett,,2,7,7,7,7,TRUE,FALSE,FALSE,0.8,57.5,,,4,1,FALSE,Danas Best,J Bowman,AUS,57.5,0.8,7,3,FALSE,Agent Bauer,Tim Clark,AUS,56.5,1.1,6,4,FALSE,Diamond Jim,C Reith,AUS,56,3.1,14
21/05/2016,Rosehill,2,1,Ghost Protocol,19/09/2013,Newcastle,TRUE,7,Newcastle Gold Cup,,Apprentices Cannot Claim,,Open,Handicap,3,,13,SN,1,144.96,600,37.57,8,J R Collett,,4,7,8,5,7,TRUE,FALSE,FALSE,1.5,54,,,12,1,FALSE,Winning Glory,N Rawiller,NZ,56.5,0.2,11,2,FALSE,Lucripetous,C Reith,NZ,55,0.2,9,3,FALSE,Peal Of Bells,J B McDonald,AUS,57.5,1.2,19
21/05/2016,Rosehill,2,1,Ghost Protocol,19/10/2013,Randwick,TRUE,6,City Tattersalls Club Cup,3yo+,Apprentices Cannot Claim,,Quality,Handicap,LR,,9,HH,1.8,150.45,600,36.88,4,Nathan Berry,,5,7,7,7,7,FALSE,FALSE,FALSE,2.4,54,,,7,1,FALSE,Kingdoms,J Ford,NZ,54,0.1,8,2,FALSE,Saint Encosta,Timothy Bell,AUS,54,0.1,3,3,FALSE,Planet Purple,K O'Hara,AUS,54,1.9,30
21/05/2016,Rosehill,2,1,Ghost Protocol,3/02/2014,Newcastle,,1,Barrier Trial,,,,Barrier Trial Open,Catch Weight,,,8,1.3,2.8,51.84,600,34,6,P Hammersley,,6,,,,,FALSE,FALSE,FALSE,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,2,1,Ghost Protocol,19/02/2014,Wyong,,1,Barrier Trial,,,,Open Barrier Trial,Catch Weight,,,7,Sh1/2Hd,3-Apr,74.27,600,36.36,1,S Lisnyy,,1,,,,,FALSE,FALSE,FALSE,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,2,1,Ghost Protocol,8/03/2014,Warwick Farm,TRUE,8,Schweppes (Bm85),3yo+,Apprentices Can Claim,,Benchmark 85,Handicap,,,10,HH,2,98.29,600,35.95,9,G Schofield,,5,,7,6,7,FALSE,FALSE,FALSE,3,56,,,2,1,FALSE,Entirely Platinum,J B McDonald,NZ,56,0.1,7,2,FALSE,Canny Ballad,B Shinn,AUS,56,0.1,8,3,FALSE,Too Hi Tek,S Clipperton,AUS,52.5,2.1,140
